no,Timing,ID,Time,total,terr_total,aqua_total,cricket_total,terr_others,aqua_adult,aqua_larvae
116,temp_1,1,16:00,0.100983278,0.014960486,0.086022792,0,0.014960486,0.086022792,0
117,temp_1,2,16:00,0.373048447,0.373048447,0,0.319059934,0.053988513,0,0
118,temp_1,3,16:00,1.034351353,0.956816243,0.077535109,0.536147033,0.42066921,0.077535109,0
119,temp_1,4,16:00,0.500884288,0.491777301,0.009106987,0.491777301,0,0.003642795,0.005464192
120,temp_1,5,16:00,0.606054151,0.606054151,0,0.300364272,0.305689879,0,0
121,temp_1,6,16:00,0.571755771,0.571755771,0,0.567539283,0.004216488,0,0
122,temp_1,1,20:00,1.950216637,1.950216637,0,1.950216637,0,0,0
123,temp_1,2,20:00,1.31222329,1.31222329,0,1.31222329,0,0,0
124,temp_1,3,20:00,0.804737011,0.768279312,0.036457699,0.768279312,0,0,0.036457699
125,temp_1,4,20:00,1.166561676,1.140314038,0.026247638,0.816593173,0.323720865,0,0.026247638
126,temp_1,5,20:00,0.232792085,0.232792085,0,0,0.232792085,0,0
127,temp_1,6,20:00,1.370215664,1.370215664,0,1.370215664,0,0,0
127,temp_1,1,0:00,1.089507208,1.089507208,0,1.089507208,0,0,0
128,temp_1,2,0:00,1.84399722,1.84399722,0,1.84399722,0,0,0
129,temp_1,3,0:00,1.836097377,1.836097377,0,1.836097377,0,0,0
130,temp_1,4,0:00,0.09899794,0.09899794,0,0.09899794,0,0,0
131,temp_1,5,0:00,1.037780615,1.037780615,0,1.033922695,0.003857921,0,0
132,temp_1,6,0:00,1.311521307,1.311521307,0,1.311521307,0,0,0
133,temp_1,7,0:00,0.867617934,0.867617934,0,0.867617934,0,0,0
134,temp_1,1,4:00,1.427871492,1.427871492,0,1.351656129,0.076215363,0,0
135,temp_1,2,4:00,1.345067623,0.307377996,1.037689627,0.307377996,0,0,1.037689627
136,temp_1,3,4:00,5.47667691,5.47667691,0,5.47667691,0,0,0
137,temp_1,4,4:00,0.889656773,0.538306816,0.351349957,0.538306816,0,0.351349957,0
137,temp_1,1,8:00,2.412321117,2.412321117,0,2.364374362,0.047946755,0,0
138,temp_1,2,8:00,0.164618942,0.164618942,0,0.136532298,0.028086644,0,0
139,temp_1,3,8:00,0.785679289,0.766431021,0.019248268,0.727934486,0.038496535,0,0.019248268
140,temp_1,4,8:00,0.039679527,0.039104462,0.000575066,0.024152756,0.014951706,0.000575066,0
141,temp_1,5,8:00,2.925009973,2.301186336,0.623823637,2.301186336,0,0,0.623823637
142,temp_1,6,8:00,1.520009398,1.491357006,0.028652392,1.491357006,0,0,0.028652392
143,temp_1,1,12:00,2.689953983,2.689953983,0,2.689953983,0,0,0
144,temp_1,2,12:00,0.496599374,0.489955904,0.00664347,0.478329832,0.011626072,0.00664347,0
145,temp_1,3,12:00,0.028616894,0.028616894,0,0,0.028616894,0,0
146,temp_1,4,12:00,0.570892572,0.570892572,0,0.54776781,0.023124762,0,0
147,temp_1,5,12:00,0.870220188,0.563083651,0.307136537,0,0.563083651,0,0.307136537
147,temp_2,1,16:00,1.291523763,1.291523763,0,1.291523763,#REF!,#REF!,0
148,temp_2,2,16:00,0.286196465,0.286196465,0,0.286196465,0,0,0
149,temp_2,3,16:00,0.121833955,0.121833955,0,0.121833955,0,0,0
150,temp_2,4,16:00,0.401239609,0.401239609,0,0.401239609,0,0,0
151,temp_2,5,16:00,0.028630279,0.028630279,0,0.028630279,0,0,0
152,temp_2,6,16:00,0.23645698,0.20876382,0.02769316,0.20876382,0,0,0.02769316
153,temp_2,7,16:00,1.167991655,1.163250146,0.004741509,1.130059585,0.033190561,0,0.004741509
154,temp_2,8,16:00,0.16412316,0.16412316,0,0.108610915,0.055512245,0,0
155,temp_2,9,16:00,0.344057924,0.344057924,0,0.344057924,0,0,0
156,temp_2,10,16:00,0.334060844,0.334060844,0,0.292303238,0.041757605,0,0
156,temp_2,1,20:00,0.701877681,0.701877681,0,0.701877681,0,0,0
157,temp_2,2,20:00,0.676710397,0.676710397,0,0.676710397,0,0,0
159,temp_2,3,20:00,4.797260554,4.797260554,0,4.797260554,0,0,0
161,temp_2,4,20:00,0.751265719,0.751265719,0,0.751265719,0,0,0
162,temp_2,5,20:00,0.230040272,0.230040272,0,0.230040272,0,0,0
163,temp_2,6,20:00,0.45386994,0.45386994,0,0.45386994,0,0,0
164,temp_2,7,20:00,2.832902933,2.832902933,0,2.832902933,0,0,0
168,temp_2,1,0:00,0.5762625,0.5762625,0,0.547051036,0.029211463,0,0
169,temp_2,2,0:00,0.242251647,0.242251647,0,0.242251647,0,0,0
170,temp_2,3,0:00,2.192065711,2.178580686,0.013485025,2.165095661,0.013485025,0,0.013485025
171,temp_2,4,0:00,0.790517089,0.790517089,0,0.790517089,0,0,0
172,temp_2,5,0:00,1.200144512,1.200144512,0,1.200144512,0,0,0
173,temp_2,1,4:00,1.021908028,1.021908028,0,0.969412753,0.052495275,0,0
174,temp_2,2,4:00,0.975375179,0.975375179,0,0.975375179,0,0,0
175,temp_2,3,4:00,1.240371638,1.239460939,0.000910699,1.239460939,0,0,0.000910699
176,temp_2,4,4:00,0.897114382,0.897114382,0,0.897114382,0,0,0
177,temp_2,5,4:00,1.115682721,1.115682721,0,1.115682721,0,0,0
178,temp_2,1,8:00,0.25915023,0.006073834,0.253076397,0,0.006073834,0,0.253076397
179,temp_2,2,8:00,0.428353261,0.428353261,0,0.428353261,0,0,0
180,temp_2,3,8:00,0.835949456,0.835949456,0,0.835949456,0,0,0
181,temp_2,4,8:00,0.017063141,0,0.017063141,0,0,0,0.017063141
182,temp_2,5,8:00,0.581493365,0.581493365,0,0.581493365,0,0,0
183,temp_2,6,8:00,1.35428837,1.35428837,0,1.35428837,0,0,0
184,temp_2,7,8:00,0.703294637,0.703294637,0,0.703294637,0,0,0
185,temp_2,8,8:00,0.57233787,0.57233787,0,0.57233787,0,0,0
186,temp_2,9,8:00,0.378211575,0.378211575,0,0.378211575,0,0,0
164,temp_2,1,12:00,0.928430934,0.928430934,0,0.878725263,0.049705671,0,0
165,temp_2,2,12:00,0.283904533,0.283904533,0,0.283904533,0,0,0
166,temp_2,3,12:00,0.811532596,0.789450076,0.02208252,0.789450076,0,0,0.02208252
167,temp_2,4,12:00,1.283217844,1.283217844,0,1.283217844,0,0,0
168,temp_2,5,12:00,0.90714608,0.902295031,0.004851049,0.902295031,0,0,0.004851049
169,temp_2,6,12:00,1.469867712,1.469867712,0,1.469867712,0,0,0