no.,day,stream,stomach id,species,FL,W,condition,category,order,family,bl (mm),mass (mg)
1874,07.08.30-31,nadani,24,K,102,12.2,,T,,Rhaphidophoridae,12.4,33.81
1875,07.08.30-31,nadani,23,K,186,82.9,,T,,Rhaphidophoridae,13,38.82
1876,07.08.30-31,nadani,23,K,186,82.9,,T,,Rhaphidophoridae,20.2,140.78
1877,07.08.30-31,nadani,39,K,115,16.1,,T,araneae,クモ,3,1.01
1878,07.08.30-31,nadani,39,K,115,16.1,,AA,deptera,ハエ,2.9,0.44
1879,07.08.30-31,nadani,39,K,115,16.1,,T,araneae,クモ,18.2,141.76
1880,07.08.30-31,nadani,40,K,133,25.5,,T,araneae,クモ,2.5,0.62
1881,07.08.30-31,nadani,40,K,133,25.5,,AL,ephemeroptera,ヒラタカゲロウ,2.7,0.17
1882,07.08.30-31,nadani,40,K,133,25.5,,AL,trichoptera,カワトビケラ,4.5,0.28
1883,07.08.30-31,nadani,40,K,133,25.5,,AL,trichoptera,カワトビケラ,4.8,0.34
1884,07.08.30-31,nadani,25,K,116,16.3,,T,,キリギリス L,8.9,14.58
1885,07.08.30-31,nadani,33,K,108,11.9,,T,lepidoptera,チョウ目_イモムシ,40.1,246.4
1886,07.08.30-31,nadani,33,K,108,11.9,,T,lepidoptera,チョウ目_イモムシ,7.5,2.71
1887,07.08.30-31,nadani,21,K,174,63.5,,T,,Rhaphidophoridae,22,180.68
1888,07.08.30-31,nadani,21,K,174,63.5,,T,,Rhaphidophoridae,17.3,89.5
1889,07.08.30-31,nadani,21,K,174,63.5,,T,hymenoptera,アリ,4,4.87
1890,07.08.30-31,nadani,11,K,177,66.2,,T,,Rhaphidophoridae,19.6,128.91
1891,07.08.30-31,nadani,11,K,177,66.2,,T,,Rhaphidophoridae,14.7,55.6
1892,07.08.30-31,nadani,11,K,177,66.2,,T,,Rhaphidophoridae,16.2,73.86
1893,07.08.30-31,nadani,11,K,177,66.2,,T,,Rhaphidophoridae,16.1,72.54
1894,07.08.30-31,nadani,10,K,134,30.6,,T,hemiptera,カメムシ,10,11.05
1895,07.08.30-31,nadani,10,K,134,30.6,,T,,Rhaphidophoridae,18.9,115.91
1896,07.08.30-31,nadani,41,K,104,13.4,,T,Isopoda,ダンゴムシ,5.9,4.34
1897,07.08.30-31,nadani,41,K,104,13.4,,AL,Amphipoda,ヨコエビ,7.8,3.9
1898,07.08.30-31,nadani,41,K,104,13.4,,AL,ephemeroptera,ヒラタカゲロウ,4.1,0.53
1899,07.08.30-31,nadani,41,K,104,13.4,,AL,ephemeroptera,ヒラタカゲロウ,6.2,1.65
1900,07.08.30-31,nadani,41,K,104,13.4,,AL,trichoptera,カワトビケラ,15.9,9.97
1901,07.08.30-31,nadani,41,K,104,13.4,,T,hymenoptera,ハチ,14.5,36.3
1902,07.08.30-31,nadani,41,K,104,13.4,,T,lepidoptera,チョウ目_イモムシ,4,0.5
1903,07.08.30-31,nadani,41,K,104,13.4,,T,hymenoptera,アリ,4.9,6.68
1904,07.08.30-31,nadani,43,K,177,56.5,,T,Isopoda,ダンゴムシ,6.5,5.6
1905,07.08.30-31,nadani,43,K,177,56.5,,T,hymenoptera,ハチ,3.9,4.68
1906,07.08.30-31,nadani,43,K,177,56.5,,T,,Rhaphidophoridae,19.9,134.76
1907,07.08.30-31,nadani,43,K,177,56.5,,T,hymenoptera,ハチ,5.6,8.23
1908,07.08.30-31,nadani,43,K,177,56.5,,AA,deptera,ハエ,4.1,0.97
1909,07.08.30-31,nadani,12,K,166,55.1,,T,,Rhaphidophoridae,14.7,55.6
1910,07.08.30-31,nadani,12,K,166,55.1,,T,,Rhaphidophoridae,16.1,72.54
1911,07.08.30-31,nadani,12,K,166,55.1,,T,Isopoda,ダンゴムシ,7.1,7.07
1912,07.08.30-31,nadani,34,K,188,62.8,,AA,deptera,ハエ,4,0.92
1913,07.08.30-31,nadani,18,K,148,39.6,,T,,Rhaphidophoridae,19.9,134.76
1914,07.08.30-31,nadani,38,K,142,34.2,,T,,Rhaphidophoridae,18.6,110.61
1915,07.08.30-31,nadani,4,K,225,120.7,,T,,Rhaphidophoridae,22.1,183.09
1916,07.08.30-31,nadani,4,K,225,120.7,,T,,Rhaphidophoridae,16.8,82.15
1917,07.08.30-31,nadani,4,K,225,120.7,,T,,Rhaphidophoridae,10.5,20.79
1918,07.08.30-31,nadani,22,K,156,42.7,,T,,Rhaphidophoridae,18.9,115.91
1919,07.08.30-31,nadani,22,K,156,42.7,,T,,Rhaphidophoridae,27.7,354.32
1920,07.08.30-31,nadani,36,K,212,85.2,,AL,coleoptera,水生甲虫,9,0.78
1921,07.08.30-31,nadani,37,K,141,36.6,,AL,deptera,ガガンボ,30.5,28.37
1922,07.08.30-31,nadani,37,K,141,36.6,,T,,Rhaphidophoridae,27.1,332.35
1923,07.08.30-31,nadani,37,K,141,36.6,,T,,Rhaphidophoridae,15.6,66.15
1924,07.08.30-31,nadani,17,K,159,47.8,,T,,Rhaphidophoridae,21.6,171.25
1925,07.08.30-31,nadani,17,K,159,47.8,,T,,Rhaphidophoridae,18,100.5
1926,07.08.30-31,nadani,17,K,159,47.8,,T,,Rhaphidophoridae,20.1,138.76
1927,07.08.30-31,nadani,17,K,159,47.8,,T,,キリギリス L,9,14.93
1928,07.08.30-31,nadani,32,K,142,32.7,,T,,Rhaphidophoridae,19,117.71
1929,07.08.30-31,nadani,32,K,142,32.7,,T,,Rhaphidophoridae,14.9,57.84
1930,07.08.30-31,nadani,32,K,142,32.7,,T,,Rhaphidophoridae,20.6,149.09
1931,07.08.30-31,nadani,16,K,115,15.2,,T,,Rhaphidophoridae,16.1,72.54
1932,07.08.30-31,nadani,16,K,115,15.2,,AL,ephemeroptera,ヒラタカゲロウ,10.1,6.27
1933,07.08.30-31,nadani,16,K,115,15.2,,AL,ephemeroptera,ヒラタカゲロウ,7.5,2.77
1934,07.08.30-31,nadani,16,K,115,15.2,,AL,plecoptera,カワゲラ,11.3,8.01
1935,07.08.30-31,nadani,16,K,115,15.2,,AL,Amphipoda,ヨコエビ,4.1,2.1
1936,07.08.30-31,nadani,26,K,97,8.9,,AL,Amphipoda,ヨコエビ,9.1,7.8
1937,07.08.30-31,nadani,26,K,97,8.9,,AL,trichoptera,シマトビケラ,9.5,17.96
1938,07.08.30-31,nadani,36,K,212,85.2,,T,coleoptera,B,5.8,4.14
1939,07.08.30-31,nadani,30,K,142,37.1,,T,,Rhaphidophoridae,20.1,138.76
1940,07.08.30-31,nadani,30,K,142,37.1,,T,,Rhaphidophoridae,14.1,49.22
1941,07.08.30-31,nadani,30,K,142,37.1,,T,,Rhaphidophoridae,17.2,87.99
1942,07.08.30-31,nadani,30,K,142,37.1,,T,,Rhaphidophoridae,24.5,247.49
1943,07.08.30-31,nadani,30,K,142,37.1,,T,,Rhaphidophoridae,20.9,155.53
1944,07.08.30-31,nadani,8,K,182,58.1,,T,,Rhaphidophoridae,20.9,155.53
1945,07.08.30-31,nadani,8,K,182,58.1,,T,araneae,クモ,4.2,2.55
1946,07.08.30-31,nadani,8,K,182,58.1,,T,coleoptera,B,3,0.73
1947,07.08.30-31,nadani,3,K,160,39.3,,AA,deptera,ハエ,13,13.17
1948,07.08.30-31,nadani,9,K,105,11.3,,AL,Amphipoda,ヨコエビ,8.1,6.9
1949,07.08.30-31,nadani,9,K,105,11.3,,AA,trichoptera,トビケラ,6.5,8.19
1950,07.08.30-31,nadani,9,K,105,11.3,,T,hymenoptera,ハチ,2.7,2.64
1951,07.08.30-31,nadani,6,K,137,26.9,,AL,ephemeroptera,ヒラタカゲロウ,6.3,1.72
1952,07.08.30-31,nadani,7,K,169,46,,T,hymenoptera,アリ,10.1,20.65
1953,07.08.30-31,nadani,7,K,169,46,,T,hymenoptera,アリ,10.6,22.27
1954,07.08.30-31,nadani,14,K,144,33.6,,T,,Rhaphidophoridae,19.2,121.37
1955,07.08.30-31,nadani,14,K,144,33.6,,T,hymenoptera,ハチ,19,55.34
1956,07.08.30-31,nadani,14,K,144,33.6,,AL,trichoptera,カワトビケラ,15.9,9.97
1957,07.08.30-31,nadani,28,K,142,31.5,,T,,Rhaphidophoridae,19.1,119.53
1958,07.08.30-31,nadani,28,K,142,31.5,,T,coleoptera,ハネカクシ,14,42.45
1959,07.08.30-31,nadani,28,K,142,31.5,,T,,Rhaphidophoridae,13,38.82
1960,07.08.30-31,nadani,29,K,157,42.4,,AL,deptera,ガガンボ,31.3,31.07
1961,07.08.30-31,nadani,29,K,157,42.4,,T,,Rhaphidophoridae,16.1,72.54
1962,07.08.30-31,nadani,1,K,95,8.3,,AL,coleoptera,水生甲虫,7.1,0.36
1963,07.08.30-31,nadani,5,K,141,29.7,,AA,deptera,ハエ,6.2,2.47
1964,07.08.30-31,nadani,5,K,141,29.7,,T,hymenoptera,アリ,12,27.02
1965,07.08.30-31,nadani,5,K,141,29.7,,T,hymenoptera,アリ,10.5,21.94
1966,07.08.30-31,nadani,5,K,141,29.7,,T,hymenoptera,アリ,8.9,16.95
1967,07.08.30-31,nadani,5,K,141,29.7,,T,,Rhaphidophoridae,20.8,153.36
1968,07.10.14-16,nadani,68,K,127,22.6,,T,,Rhaphidophoridae,21.3,164.39
1969,07.10.14-16,nadani,68,K,127,22.6,,T,,Rhaphidophoridae,21.2,162.14
1970,07.10.14-16,nadani,68,K,127,22.6,,T,,キリギリス L,9.1,15.27
1971,07.10.14-16,nadani,66,K,105,11.3,,AL,ephemeroptera,コカゲロウ,10.5,2.95
1972,07.10.14-16,nadani,66,K,105,11.3,,AL,ephemeroptera,コカゲロウ,5.8,0.69
1973,07.10.14-16,nadani,66,K,105,11.3,,AL,ephemeroptera,コカゲロウ,4.7,0.41
1974,07.10.14-16,nadani,66,K,105,11.3,,AL,ephemeroptera,コカゲロウ,5.9,0.72
1975,07.10.14-16,nadani,66,K,105,11.3,,AL,ephemeroptera,コカゲロウ,4.7,0.41
1976,07.10.14-16,nadani,55,K,76,4.3,,AL,ephemeroptera,マダラカゲロウ,9,5.43
1977,07.10.14-16,nadani,55,K,76,4.3,,AL,ephemeroptera,ヒラタカゲロウ,11.8,9.6
1978,07.10.14-16,nadani,55,K,76,4.3,,AL,ephemeroptera,ヒラタカゲロウ,3.8,0.43
1979,07.10.14-16,nadani,57,K,133,24.2,,AL,plecoptera,カワゲラ,15.1,18.38
1980,07.10.14-16,nadani,57,K,133,24.2,,T,araneae,クモ,4.1,2.39
1981,07.10.14-16,nadani,57,K,133,24.2,,AL,ephemeroptera,コカゲロウ,5.8,0.69
1982,07.10.14-16,nadani,43,K,145,39.6,,T,,Rhaphidophoridae,20.1,138.76
1983,07.10.14-16,nadani,43,K,145,39.6,,T,,キリギリス L,9.8,17.82
1984,07.10.14-16,nadani,43,K,145,39.6,,T,,キリギリス L,10.1,18.98
1985,07.10.14-16,nadani,54,K,102,10.8,,AL,plecoptera,カワゲラ,12.8,11.45
1986,07.10.14-16,nadani,59,K,85,6.2,,AL,trichoptera,カワトビケラ,13.1,5.77
1987,07.10.14-16,nadani,59,K,85,6.2,,AL,ephemeroptera,ヒラタカゲロウ,7.8,3.09
1988,07.10.14-16,nadani,59,K,85,6.2,,AL,ephemeroptera,コカゲロウ,3.1,0.15
1989,07.10.14-16,nadani,59,K,85,6.2,,AL,ephemeroptera,コカゲロウ,4,0.28
1990,07.10.14-16,nadani,59,K,85,6.2,,AL,trichoptera,カクツツ,2,0.06
1991,07.10.14-16,nadani,56,K,102,10.7,,AL,deptera,ガガンボ,13.5,1.62
1992,07.10.14-16,nadani,56,K,102,10.7,,AL,odonata,カワトンボ,13.1,
1993,07.10.14-16,nadani,56,K,102,10.7,,AL,ephemeroptera,マダラカワゲラ,4.1,0.44
1994,07.10.14-16,nadani,56,K,102,10.7,,AL,ephemeroptera,コカゲロウ,5.8,0.69
1995,07.10.14-16,nadani,56,K,102,10.7,,AL,ephemeroptera,ヒラタカゲロウ,3.6,0.37
1996,07.10.14-16,nadani,56,K,102,10.7,,AL,trichoptera,カワトビケラ,7,0.99
1997,07.10.14-16,nadani,53,K,75,3.9,,AL,trichoptera,カクツツ,2.2,0.08
1998,07.10.14-16,nadani,53,K,75,3.9,,AL,trichoptera,カクツツ,2.5,0.11
1999,07.10.14-16,nadani,60,K,120,18,,AL,trichoptera,カクツツ,6.9,1.69
2000,07.10.14-16,nadani,60,K,120,18,,AL,ephemeroptera,コカゲロウ,6.1,0.78
2001,07.10.14-16,nadani,58,K,147,34.2,,T,,キリギリス L,8.8,14.24
2002,07.10.14-16,nadani,47,K,107,12.6,,T,hymenoptera,ハチ,4.7,6.26
2003,07.10.14-16,nadani,47,K,107,12.6,,AL,ephemeroptera,コカゲロウ,5.7,0.66
2004,07.10.14-16,nadani,46,K,168,53.8,,T,,キリギリス L,10.2,19.37
2005,07.10.14-16,nadani,46,K,168,53.8,,T,,Rhaphidophoridae,17,85.04
2006,07.10.14-16,nadani,50,K,86,6.4,,T,hemiptera,カメムシ,6,2.06
2007,07.10.14-16,nadani,50,K,86,6.4,,AL,coleoptera,水生甲虫,8.1,0.55
2008,07.10.14-16,nadani,50,K,86,6.4,,T,hemiptera,カメムシ,5,1.14
2009,07.10.14-16,nadani,50,K,86,6.4,,T,coleoptera,B,3.9,1.45
2010,07.10.14-16,nadani,50,K,86,6.4,,T,hymenoptera,ハチ,2.9,2.95
2011,07.10.14-16,nadani,44,K,163,56,,T,lepidoptera,チョウ目_イモムシ,28.8,101.15
2012,07.10.14-16,nadani,65,K,150,39,,T,,Rhaphidophoridae,24.8,256.45
2013,07.10.14-16,nadani,65,K,150,39,,T,,キリギリス L,9.6,17.07
2014,07.10.14-16,nadani,63,K,185,74.4,,T,,Rhaphidophoridae,26.2,301.11
2015,07.10.14-16,nadani,42,K,176,71.4,,T,,Rhaphidophoridae,23.4,216.39
2016,07.10.14-16,nadani,42,K,176,71.4,,T,,キリギリス L,10.1,18.98
2017,07.10.14-16,nadani,64,K,106,12.9,,T,lepidoptera,チョウ目_イモムシ,22.8,53.95
2018,07.10.14-16,nadani,64,K,106,12.9,,AL,ephemeroptera,ヒラタカゲロウ,4.9,0.86
2019,07.10.14-16,nadani,62,K,123,20.1,,AL,ephemeroptera,コカゲロウ,7.8,1.43
2020,07.10.14-16,nadani,45,K,139,32.4,,T,,Rhaphidophoridae,12.9,37.95
2021,07.10.14-16,nadani,61,K,153,40.5,,T,,Rhaphidophoridae,24.1,235.86
2022,07.10.14-16,nadani,41,K,142,32.7,,AL,trichoptera,コエグリトビケラ,8.2,2.7
2023,07.10.14-16,nadani,41,K,142,32.7,,T,,Rhaphidophoridae,20.5,146.98
2024,07.10.14-16,nadani,32,K,119,20.2,,T,hymenoptera,ハチ,13.8,33.6
2025,07.10.14-16,nadani,32,K,119,20.2,,T,,キリギリス L,9.6,17.07
2026,07.10.14-16,nadani,30,K,120,20.2,,T,,Rhaphidophoridae,22.3,187.98
2027,07.10.14-16,nadani,30,K,120,20.2,,AL,plecoptera,カワゲラ,10,5.64
2028,07.10.14-16,nadani,35,K,194,84,,T,,Rhaphidophoridae,27.8,358.07
2029,07.10.14-16,nadani,33,K,113,15.7,,AL,plecoptera,カワゲラ,6.2,1.43
2030,07.10.14-16,nadani,29,K,119,20.1,,AL,ephemeroptera,ヒラタカゲロウ,7.1,2.39
2031,07.10.14-16,nadani,29,K,119,20.1,,T,,キリギリス L,10.1,18.98
2032,07.10.14-16,nadani,27,K,133,27.6,,T,Isopoda,ダンゴムシ,9.9,17
2033,07.10.14-16,nadani,28,K,202,94.4,,T,,キリギリス L,8.6,13.58
2034,07.10.14-16,nadani,34,K,146,35.5,,AL,plecoptera,カワゲラ,8.5,3.54
2035,07.10.14-16,nadani,34,K,146,35.5,,AL,trichoptera,カワトビケラ,9.8,2.55
2036,07.10.14-16,nadani,34,K,146,35.5,,T,,Rhaphidophoridae,21.8,175.92
2037,07.10.14-16,nadani,31,K,120,19.2,,T,,キリギリス L,10.1,18.98
2038,07.10.14-16,nadani,38,K,75,4.1,,AL,ephemeroptera,ヒラタカゲロウ,3.8,0.43
2039,07.10.14-16,nadani,23,K,116,16.7,,AL,trichoptera,シマトビケラ,6.8,7.68
2040,07.10.14-16,nadani,23,K,116,16.7,,AL,ephemeroptera,コカゲロウ,5,0.48
2041,07.10.14-16,nadani,49,K,153,41.5,,T,,Rhaphidophoridae,23.1,208.38
2042,07.10.14-16,nadani,39,K,79,5.3,,T,lepidoptera,チョウ目_イモムシ,19.9,37.42
2043,07.10.14-16,nadani,39,K,79,5.3,,AL,ephemeroptera,モンカゲロウ,9.2,3.94
2044,07.10.14-16,nadani,39,K,79,5.3,,T,lepidoptera,チョウ目_イモムシ,17.1,24.89
2045,07.10.14-16,nadani,39,K,79,5.3,,AL,ephemeroptera,ヒラタカゲロウ,8.2,3.54
2046,07.10.14-16,nadani,39,K,79,5.3,,T,lepidoptera,チョウ目_イモムシ,13.8,13.98
2047,07.10.14-16,nadani,11,K,114,17.9,,AL,plecoptera,カワゲラ,6.7,1.79
2048,07.10.14-16,nadani,11,K,114,17.9,,T,lepidoptera,チョウ目_イモムシ,7.8,3.01
2049,07.10.14-16,nadani,11,K,114,17.9,,T,,キリギリス L,10.1,18.98
2050,07.10.14-16,nadani,5,K,152,37.4,,T,,キリギリス L,10,18.59
2051,07.10.14-16,nadani,2,K,102,11.4,,AL,plecoptera,カワゲラ,7.9,2.87
2052,07.10.14-16,nadani,2,K,102,11.4,,T,,キリギリス L,9.6,17.07
2053,07.10.14-16,nadani,9,K,130,23,,AL,ephemeroptera,コカゲロウ,6.7,0.98
2054,07.10.14-16,nadani,9,K,130,23,,T,,キリギリス L,10.1,18.98
2055,07.10.14-16,nadani,20,K,200,91,,T,,Rhaphidophoridae,13.5,43.35
2056,07.10.14-16,nadani,20,K,200,91,,T,,Rhaphidophoridae,18.8,114.12
2057,07.10.14-16,nadani,37,K,148,36.9,,T,hymenoptera,ハチ,9.3,18.16
2058,07.10.14-16,nadani,24,K,115,17.5,,T,,Rhaphidophoridae,23.2,211.03
2059,07.10.14-16,nadani,14,K,137,20.3,,T,hemiptera,カメムシ,7,3.92
2060,07.10.14-16,nadani,14,K,137,20.3,,T,,キリギリス L,9.9,18.2
2061,07.10.14-16,nadani,15,K,123,22.5,,T,,キリギリス L,9.6,17.07
2062,07.10.14-16,nadani,15,K,123,22.5,,AL,ephemeroptera,コカゲロウ,7.1,1.13
2063,07.10.14-16,nadani,12,K,136,31,,T,,Rhaphidophoridae,21.2,162.14
2064,07.10.14-16,nadani,12,K,136,31,,T,,キリギリス L,10.7,21.4
2065,07.10.14-16,nadani,12,K,136,31,,T,,キリギリス L,9.4,16.34
2066,07.10.14-16,nadani,12,K,136,31,,T,hemiptera,カメムシ,6,1.55
2067,07.10.14-16,nadani,16,K,168,54.1,,T,,Rhaphidophoridae,20.8,153.36
2068,07.10.14-16,nadani,18,K,110,13.3,,T,,Rhaphidophoridae,19.9,134.76
2069,07.10.14-16,nadani,10,K,117,17.6,,T,,キリギリス L,9.9,18.2
2070,07.10.14-16,nadani,10,K,117,17.6,,T,hemiptera,カメムシ,5,1.29
2071,07.10.14-16,nadani,22,K,150,39,,T,,キリギリス L,9.4,16.34
2072,07.10.14-16,nadani,22,K,150,39,,T,,Rhaphidophoridae,22.1,183.09
2073,07.10.14-16,nadani,21,K,143,32.3,,T,,キリギリス L,8.3,12.61
2324,07.08.14,nadani,5,A,161,,,T,,Rhaphidophoridae,15,58.98
2325,07.08.14,nadani,5,A,161,,,T,,Rhaphidophoridae,15.8,68.66
2326,07.08.14,nadani,5,A,161,,,T,,Rhaphidophoridae,22.1,183.09
2327,07.08.14,nadani,7,A,156,,,T,,Rhaphidophoridae,23.9,230.19
2328,07.08.14,nadani,2,A,162,,,T,,Rhaphidophoridae,14.5,53.42
2329,07.08.14,nadani,1,A,159,,,T,,Rhaphidophoridae,12.9,37.95
2330,07.08.14,nadani,1,A,159,,,T,,Rhaphidophoridae,18.1,102.14
2331,07.08.14,nadani,4,A,150,,,T,,Rhaphidophoridae,24.9,259.49
2332,07.08.14,nadani,6,A,182,,,T,,Rhaphidophoridae,20.5,146.98
2333,07.10.26,nadani,6,A,153,,,T,,Rhaphidophoridae,20.8,153.36
2334,07.10.26,nadani,3,A,145,,,T,,Rhaphidophoridae,19.9,134.76
2335,07.10.26,nadani,2,A,159,,,T,,Rhaphidophoridae,22.4,190.46
2336,07.10.26,nadani,2,A,159,,,T,,Rhaphidophoridae,12.4,33.81
2337,07.10.26,nadani,1,A,150,,,T,,Rhaphidophoridae,20.9,155.53
2338,07.10.26,nadani,5,A,146,,,T,,Rhaphidophoridae,20.7,151.22
2339,07.10.26,nadani,4,A,165,,,T,,キリギリス L,10.7,21.4
2340,07.09.08,nadani,5,A,151,,,T,,Rhaphidophoridae,23.8,227.38
2341,07.09.08,nadani,5,A,151,,,T,,Rhaphidophoridae,22.1,183.09
2342,07.09.08,nadani,2,A,145,,,T,,Rhaphidophoridae,18.6,110.61
2343,07.09.08,nadani,1,A,209,,,T,,Rhaphidophoridae,23.3,213.7
2344,07.09.08,nadani,1,A,209,,,T,,Rhaphidophoridae,20.1,138.76
2345,07.09.08,nadani,1,A,209,,,T,,キリギリス L,11,22.67
2347,07.09.08,nadani,3,A,216,,,T,,Rhaphidophoridae,18,100.5
2348,07.09.08,nadani,3,A,216,,,T,,Rhaphidophoridae,22.5,192.95
2349,07.09.08,nadani,3,A,216,,,T,,Rhaphidophoridae,18.5,108.88
2350,07.09.08,nadani,3,A,216,,,T,,Rhaphidophoridae,16.9,83.58
2351,07.09.08,nadani,4,A,155,,,T,,Rhaphidophoridae,16.1,72.54
2352,07.08.26,nadani,18,A,217,,,T,,Rhaphidophoridae,13.9,47.21
2353,07.08.26,nadani,18,A,217,,,T,,Rhaphidophoridae,14.9,57.84
2354,07.08.26,nadani,18,A,217,,,T,,Rhaphidophoridae,19.1,119.53
2355,07.08.26,nadani,18,A,217,,,T,,Rhaphidophoridae,18.8,114.12
2356,07.08.26,nadani,17,A,169,,,T,,Rhaphidophoridae,18,100.5
2357,07.08.26,nadani,17,A,169,,,T,,Rhaphidophoridae,17.8,97.27
2358,07.08.26,nadani,17,A,169,,,T,,Rhaphidophoridae,16.8,82.15
2359,07.08.26,nadani,17,A,169,,,T,,Rhaphidophoridae,15.3,62.5
2360,07.08.26,nadani,16,K,211,,,T,,Rhaphidophoridae,15.3,62.5
2361,07.08.26,nadani,16,K,211,,,T,,Rhaphidophoridae,16.2,73.86
2362,07.08.26,nadani,13,A,138,,,T,,Rhaphidophoridae,19.1,119.53
2363,07.08.26,nadani,2,A,146,,,T,,Rhaphidophoridae,12.3,33.02
2364,07.08.26,nadani,2,A,146,,,T,,Rhaphidophoridae,17.1,86.51
2365,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,16.7,80.72
2366,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,16.5,77.93
2367,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,16.2,73.86
2368,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,15.9,69.93
2369,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,14.9,57.84
2370,07.08.26,nadani,10,K,213,,,T,,Rhaphidophoridae,17.3,89.5
2371,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,15.9,69.93
2372,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,15.8,68.66
2373,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,17.1,86.51
2374,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,15.6,66.15
2375,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,13.1,39.7
2376,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,15.9,69.93
2377,07.08.26,nadani,8,A,186,,,T,,Rhaphidophoridae,14.1,49.22
2378,07.08.26,nadani,15,A,150,,,T,,Rhaphidophoridae,16.3,75.2
2379,07.09.17,nadani,8,A,155,,,T,,Rhaphidophoridae,23.1,208.38
2380,07.09.17,nadani,8,A,155,,,T,,キリギリス L,10.2,19.37
2381,07.09.17,nadani,4,A,154,,,T,,Rhaphidophoridae,22.8,200.57
2382,07.09.17,nadani,3,A,154,,,T,,キリギリス L,8.7,13.91
2383,07.09.17,nadani,3,A,154,,,T,,Rhaphidophoridae,20.1,138.76
2384,07.09.17,nadani,1,A,152,,,T,,Rhaphidophoridae,24.2,238.73
2385,07.09.17,nadani,2,A,178,,,T,,Rhaphidophoridae,24.1,235.86
2386,07.09.17,nadani,5,A,126,,,T,,Rhaphidophoridae,19.2,121.37
2387,07.09.17,nadani,6,A,197,,,T,,Rhaphidophoridae,23.1,208.38
2388,07.09.17,nadani,6,A,197,,,T,,Rhaphidophoridae,21.4,166.65
2389,07.09.17,nadani,6,A,197,,,T,,キリギリス L,9.1,15.27
2390,07.09.17,nadani,7,A,160,,,T,,Rhaphidophoridae,19.3,123.22
2391,07.09.17,nadani,9,A,160,,,T,,Rhaphidophoridae,25.6,281.39
2392,07.10.01,nadani,4,A,157,,,T,,Rhaphidophoridae,20,136.75
2393,07.10.01,nadani,4,A,157,,,T,,Rhaphidophoridae,20.8,153.36
2394,07.10.01,nadani,2,A,185,,,T,,Rhaphidophoridae,20.7,151.22
2395,07.10.01,nadani,2,A,185,,,T,,Rhaphidophoridae,19.5,126.99
2396,07.10.01,nadani,3,A,210,,,T,,Rhaphidophoridae,12.3,33.02
2397,07.10.01,nadani,3,A,210,,,T,,Rhaphidophoridae,24.9,259.49
2398,07.10.01,nadani,3,A,210,,,T,,Rhaphidophoridae,22.1,183.09
2399,07.10.01,nadani,3,A,210,,,T,,キリギリス L,11,22.67
2400,07.10.01,nadani,3,A,210,,,T,,キリギリス L,10.1,18.98